Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI
Occupancy,American Crow,svp,0.0301,0.2371,-0.3992,0.0183,0.5281,1.0025,1200,-0.3335,0.4307
Occupancy,American Goldfinch,svp,0.0868,0.3255,-0.5172,0.0831,0.7418,1.0028,1200,-0.4395,0.6499
Occupancy,American Kestrel,svp,-0.1772,0.3951,-0.9626,-0.1758,0.5936,1.0079,1094,-0.8485,0.463
Occupancy,American Redstart,svp,-0.1066,0.3057,-0.7668,-0.0946,0.4697,1.0042,990,-0.6115,0.3587
Occupancy,American Robin,svp,-0.4572,0.2388,-0.9239,-0.4524,-0.0352,1.0086,1200,-0.849,-0.0957
Occupancy,American Woodcock,svp,-0.1056,0.3857,-0.9092,-0.1052,0.6399,1.002,1200,-0.7557,0.5217
Occupancy,Barred Owl,svp,0.1185,0.3816,-0.623,0.1321,0.8959,1.0019,1200,-0.5222,0.7525
Occupancy,Bald Eagle,svp,-0.2531,0.3934,-1.0899,-0.2417,0.477,1.0143,1200,-0.9609,0.341
Occupancy,Bank Swallow,svp,-0.0317,0.3878,-0.7831,-0.0421,0.7397,1.0087,1200,-0.6638,0.6187
Occupancy,Baltimore Oriole,svp,-0.5242,0.2534,-1.056,-0.5223,-0.0719,1.0039,1200,-0.9505,-0.1286
Occupancy,Barn Swallow,svp,-0.189,0.3392,-0.8124,-0.201,0.4652,1.0032,1200,-0.73,0.3646
Occupancy,Black-capped Chickadee,svp,0.1418,0.391,-0.6268,0.1375,0.9551,0.9999,1103,-0.4781,0.8061
Occupancy,Belted Kingfisher,svp,-0.2603,0.3281,-0.9056,-0.2545,0.3618,1.0003,1200,-0.824,0.2571
Occupancy,Blue-gray Gnatcatcher,svp,0.2565,0.3121,-0.3196,0.2353,0.9125,1.0082,1200,-0.2332,0.8039
Occupancy,Brown-headed Cowbird,svp,0.1072,0.2758,-0.3723,0.0979,0.7133,1.0025,1200,-0.3227,0.5788
Occupancy,Blue-headed Vireo,svp,-0.0038,0.3814,-0.7451,-0.0092,0.7445,1.001,1200,-0.637,0.6343
Occupancy,Blue Jay,svp,-0.1111,0.2615,-0.6382,-0.108,0.4051,1.0009,1200,-0.5372,0.3137
Occupancy,Bobolink,svp,-0.0591,0.4372,-0.9794,-0.0585,0.791,1.0198,1200,-0.7415,0.6478
Occupancy,Brown Creeper,svp,0.6037,0.2755,0.0703,0.5956,1.146,1.0066,1200,0.1622,1.04
Occupancy,Brown Thrasher,svp,-0.1698,0.3838,-0.938,-0.1739,0.6423,1.0317,1160,-0.8013,0.4737
Occupancy,Black-throated Green Warbler,svp,-0.0824,0.4104,-0.9031,-0.0744,0.7134,0.9991,1089,-0.7612,0.5747
Occupancy,Broad-winged Hawk,svp,0.2436,0.3581,-0.4322,0.2351,0.9526,1.0107,1200,-0.349,0.8392
Occupancy,Blue-winged Warbler,svp,-0.0377,0.3326,-0.6882,-0.0358,0.5867,0.9991,1424,-0.5659,0.51
Occupancy,Canada Goose,svp,-0.2379,0.3608,-0.961,-0.2344,0.4926,1.0042,1200,-0.8388,0.3808
Occupancy,Carolina Wren,svp,0.2682,0.2416,-0.2,0.2655,0.7537,1.0025,2477,-0.1272,0.6755
Occupancy,Cedar Waxwing,svp,-0.3019,0.2589,-0.8431,-0.2857,0.1778,1.0156,1200,-0.7383,0.0971
Occupancy,Cerulean Warbler,svp,-0.0532,0.408,-0.8574,-0.0448,0.7653,1.0043,1200,-0.7142,0.6129
Occupancy,Chipping Sparrow,svp,0.0733,0.257,-0.4197,0.0608,0.5937,1.0053,952,-0.3363,0.5203
Occupancy,Chimney Swift,svp,-0.2491,0.2794,-0.8055,-0.2525,0.3199,1.0237,967,-0.694,0.2272
Occupancy,Cliff Swallow,svp,-0.1635,0.3983,-0.958,-0.1491,0.6128,1.003,1200,-0.807,0.4694
Occupancy,Common Grackle,svp,-0.2012,0.2671,-0.7203,-0.1934,0.3329,1.0077,1200,-0.6434,0.2265
Occupancy,Cooper's Hawk,svp,0.0846,0.3256,-0.5962,0.089,0.6809,1.0013,1200,-0.4585,0.5802
Occupancy,Common Yellowthroat,svp,0.0584,0.2172,-0.3616,0.0587,0.4812,1.0048,963,-0.3063,0.4075
Occupancy,Dark-eyed Junco,svp,0.6843,0.2815,0.1666,0.6701,1.2609,1.0139,1207,0.2349,1.1886
Occupancy,Downy Woodpecker,svp,0.1239,0.3316,-0.4944,0.1026,0.8191,1.0047,1200,-0.3928,0.7245
Occupancy,Eastern Bluebird,svp,0.3416,0.2792,-0.2007,0.3426,0.8929,1.0038,1200,-0.0984,0.7962
Occupancy,Eastern Kingbird,svp,0.039,0.3186,-0.5748,0.044,0.6865,1.0101,1200,-0.4754,0.5454
Occupancy,Eastern Meadowlark,svp,-0.1465,0.3758,-0.909,-0.1412,0.5959,1.0052,1392,-0.7628,0.4671
Occupancy,Eastern Phoebe,svp,-0.0485,0.2647,-0.575,-0.0496,0.4823,1.0007,1200,-0.479,0.3741
Occupancy,Eastern Towhee,svp,-0.1521,0.2428,-0.629,-0.1492,0.3256,1.0086,1304,-0.5514,0.2433
Occupancy,Eastern Wood-Pewee,svp,0.0213,0.3122,-0.5726,0.006,0.6522,0.9996,1200,-0.4822,0.5498
Occupancy,European Starling,svp,-0.5856,0.3034,-1.237,-0.5755,-0.0308,1.0007,1200,-1.1202,-0.1055
Occupancy,Field Sparrow,svp,-0.2141,0.2993,-0.8215,-0.2105,0.3758,1.0064,964,-0.7014,0.2797
Occupancy,Great Blue Heron,svp,-0.0801,0.3207,-0.6899,-0.0766,0.5439,1.0092,1200,-0.5967,0.4601
Occupancy,Great Crested Flycatcher,svp,0.0829,0.3522,-0.6077,0.0802,0.8046,1.0017,1200,-0.4778,0.6784
Occupancy,Great Horned Owl,svp,-0.0898,0.3929,-0.8622,-0.1007,0.6867,1.0165,1200,-0.7379,0.5539
Occupancy,Gray Catbird,svp,-0.4241,0.212,-0.8403,-0.4161,-0.0346,1.0064,1200,-0.7641,-0.0937
Occupancy,Green Heron,svp,-0.0993,0.394,-0.8597,-0.0954,0.6519,0.9994,1200,-0.7563,0.5158
Occupancy,Hairy Woodpecker,svp,0.0317,0.362,-0.6378,0.0106,0.7722,1.0042,1200,-0.5221,0.6423
Occupancy,Herring Gull,svp,-0.1858,0.3852,-0.9646,-0.1832,0.5649,1.0024,863,-0.8311,0.4366
Occupancy,Hermit Thrush,svp,0.3009,0.3628,-0.3848,0.2906,1.0253,1.0051,1200,-0.2823,0.8986
Occupancy,House Finch,svp,-0.6101,0.3374,-1.2973,-0.6018,0.022,1.0069,1200,-1.1541,-0.0702
Occupancy,House Sparrow,svp,-0.8296,0.3148,-1.4863,-0.8249,-0.2455,1.009,1200,-1.3587,-0.3228
Occupancy,Hooded Warbler,svp,0.4001,0.2187,-0.0147,0.3948,0.8393,1.0004,1200,0.0577,0.7687
Occupancy,House Wren,svp,-0.312,0.1978,-0.7035,-0.3069,0.0579,1.0048,1200,-0.6583,0.0074
Occupancy,Indigo Bunting,svp,-0.1614,0.2039,-0.5838,-0.1597,0.2174,1.0026,1200,-0.5034,0.1798
Occupancy,Killdeer,svp,-0.3518,0.3349,-1.0142,-0.354,0.279,1.0162,1200,-0.9134,0.1811
Occupancy,Louisiana Waterthrush,svp,0.0085,0.283,-0.5282,0.0076,0.5488,1.0148,1200,-0.4551,0.4704
Occupancy,Mallard,svp,-0.3376,0.3708,-1.07,-0.3294,0.3907,1.0003,1200,-0.9417,0.2355
Occupancy,Mourning Dove,svp,-0.072,0.2742,-0.6151,-0.0717,0.4661,1.0064,1200,-0.5283,0.3929
Occupancy,Northern Cardinal,svp,0.0374,0.2863,-0.5173,0.0405,0.6332,1.016,1776,-0.4195,0.5093
Occupancy,Northern Flicker,svp,-0.1613,0.3181,-0.7417,-0.1839,0.502,1.0208,1200,-0.6563,0.3918
Occupancy,Northern Parula,svp,-0.1981,0.4012,-1.0021,-0.1644,0.5459,0.9998,1210,-0.8716,0.4141
Occupancy,Northern Rough-winged Swallow,svp,-0.2405,0.3403,-0.918,-0.2298,0.4002,1.0013,1200,-0.7962,0.2954
Occupancy,Orchard Oriole,svp,-0.1568,0.3199,-0.8034,-0.1564,0.4665,1.0063,1084,-0.6892,0.362
Occupancy,Ovenbird,svp,0.1195,0.279,-0.4598,0.1264,0.6329,1.0003,1200,-0.3401,0.5547
Occupancy,Pileated Woodpecker,svp,0.2084,0.3568,-0.4807,0.213,0.9351,1.0034,1200,-0.3676,0.8167
Occupancy,Purple Finch,svp,0.0263,0.3898,-0.7469,0.0251,0.7622,1.0013,1200,-0.6265,0.6535
Occupancy,Purple Martin,svp,-0.0476,0.4184,-0.8758,-0.0422,0.7565,1.0028,1200,-0.7446,0.6165
Occupancy,Rose-breasted Grosbeak,svp,-0.3316,0.2925,-0.9331,-0.3234,0.2109,1.0099,1200,-0.8014,0.118
Occupancy,Ring-billed Gull,svp,-0.0612,0.3226,-0.7103,-0.0537,0.5786,1.0024,1056,-0.5867,0.4406
Occupancy,Red-breasted Nuthatch,svp,-0.09,0.3989,-0.8639,-0.0725,0.6679,0.9996,1200,-0.7773,0.5727
Occupancy,Red-bellied Woodpecker,svp,0.0681,0.3233,-0.5659,0.0673,0.6946,1.0029,1200,-0.4665,0.6057
Occupancy,Red-eyed Vireo,svp,0.2669,0.329,-0.3311,0.2482,0.9808,1.0066,1200,-0.2509,0.8381
Occupancy,Red-headed Woodpecker,svp,-0.4592,0.3695,-1.2189,-0.4314,0.2096,1.0202,1200,-1.0943,0.111
Occupancy,Rock Pigeon,svp,-0.2695,0.4012,-1.0841,-0.2532,0.4526,1.0056,1095,-0.9673,0.3675
Occupancy,Red-shouldered Hawk,svp,-0.2639,0.3615,-0.9671,-0.2525,0.454,1.002,1200,-0.8482,0.3312
Occupancy,Red-tailed Hawk,svp,-0.1989,0.3478,-0.8806,-0.1872,0.486,1.0037,1125,-0.7684,0.38
Occupancy,Ruby-throated Hummingbird,svp,0.0022,0.362,-0.7341,-0.0008,0.7543,1.0087,1103,-0.587,0.6157
Occupancy,Red-winged Blackbird,svp,-0.2647,0.2325,-0.7343,-0.2576,0.1791,1.0005,1200,-0.657,0.1101
Occupancy,Savannah Sparrow,svp,-0.1782,0.3998,-0.9546,-0.1632,0.5943,1.0006,1200,-0.826,0.4552
Occupancy,Scarlet Tanager,svp,0.3601,0.286,-0.1814,0.3514,0.9615,1.0004,1200,-0.0893,0.8657
Occupancy,Song Sparrow,svp,-0.1791,0.1827,-0.5312,-0.1816,0.1672,1.0088,1200,-0.4769,0.1108
Occupancy,Swamp Sparrow,svp,-0.1393,0.3267,-0.8031,-0.1387,0.4733,1.0078,1200,-0.704,0.3924
Occupancy,Tennessee Warbler,svp,-0.0639,0.4119,-0.8645,-0.0796,0.7442,1.0075,1551,-0.7123,0.6249
Occupancy,Tree Swallow,svp,-0.0956,0.3324,-0.7681,-0.0983,0.5574,1.0181,1200,-0.6419,0.4326
Occupancy,Tufted Titmouse,svp,0.1721,0.3303,-0.4547,0.1719,0.8265,1.0137,1200,-0.3572,0.7156
Occupancy,Turkey Vulture,svp,-0.4063,0.3767,-1.1664,-0.4006,0.3523,1.014,1271,-1.0285,0.1919
Occupancy,Veery,svp,0.2288,0.2703,-0.2766,0.2153,0.8044,1.0056,1200,-0.1871,0.6946
Occupancy,Virginia Rail,svp,-0.0712,0.4108,-0.8426,-0.0701,0.7098,1.0029,1200,-0.7251,0.6211
Occupancy,Warbling Vireo,svp,-0.4477,0.2734,-0.9787,-0.4449,0.077,1.0033,1200,-0.9027,-0.0128
Occupancy,White-breasted Nuthatch,svp,0.1087,0.3552,-0.5802,0.1159,0.8125,1.0059,1200,-0.4518,0.6819
Occupancy,White-eyed Vireo,svp,-0.1477,0.3917,-0.9407,-0.1427,0.6028,1.0033,1200,-0.8101,0.4894
Occupancy,Willow Flycatcher,svp,-0.0779,0.3299,-0.759,-0.0633,0.5488,1.0012,1200,-0.6631,0.4366
Occupancy,Wild Turkey,svp,-0.0709,0.3471,-0.759,-0.0637,0.6255,1.0013,1200,-0.6422,0.5148
Occupancy,Winter Wren,svp,0.3528,0.3665,-0.3862,0.3651,1.0928,1,1037,-0.2526,0.9286
Occupancy,Wood Duck,svp,-0.1889,0.3873,-0.9891,-0.1763,0.5294,1.0034,1200,-0.8553,0.4485
Occupancy,Wood Thrush,svp,0.1635,0.2788,-0.345,0.1457,0.7514,1.0245,1200,-0.2735,0.6265
Occupancy,Yellow-billed Cuckoo,svp,0.3737,0.3395,-0.2797,0.3611,1.0492,1.0051,1200,-0.1799,0.9399
Occupancy,Yellow Warbler,svp,-0.3269,0.2428,-0.7995,-0.3282,0.1476,1.0206,1200,-0.7158,0.0725
Occupancy,Yellow-throated Vireo,svp,0.3317,0.2876,-0.22,0.3124,0.8998,1.0114,1200,-0.1431,0.8138
Occupancy,Yellow-throated Warbler,svp,-0.0855,0.345,-0.7775,-0.0776,0.5515,1.0187,1200,-0.6878,0.473
Occupancy,Acadian Flycatcher,dicot,0.3787,0.2011,-0.0029,0.3729,0.8148,1.0096,1308,0.0626,0.7072
Occupancy,Alder Flycatcher,dicot,0.1628,0.2659,-0.3856,0.1752,0.6784,1.0019,1185,-0.2959,0.5845
Occupancy,American Crow,dicot,0.1766,0.203,-0.2236,0.1817,0.5671,1.0047,1200,-0.161,0.4902
Occupancy,American Goldfinch,dicot,0.2214,0.2571,-0.2821,0.2225,0.7143,1.0011,1200,-0.206,0.6543
Occupancy,American Kestrel,dicot,0.2625,0.2635,-0.2203,0.2596,0.7997,1.0065,1310,-0.1511,0.6882
Occupancy,American Redstart,dicot,0.2381,0.2379,-0.2422,0.2365,0.7044,0.9994,1194,-0.1615,0.6236
Occupancy,American Robin,dicot,0.0464,0.2323,-0.4153,0.0434,0.5102,1.0103,1200,-0.3429,0.4294
Occupancy,American Woodcock,dicot,0.1721,0.2632,-0.3607,0.1817,0.6703,1.003,1200,-0.2803,0.5943
Occupancy,Barred Owl,dicot,0.1349,0.2649,-0.3745,0.1427,0.6377,1.0003,1200,-0.3188,0.5729
Occupancy,Bald Eagle,dicot,0.189,0.2725,-0.3538,0.1969,0.7126,1.0086,1200,-0.2532,0.6219
Occupancy,Bank Swallow,dicot,0.1812,0.2629,-0.3458,0.1818,0.6898,1.0054,1200,-0.2498,0.5738
Occupancy,Baltimore Oriole,dicot,0.4607,0.2226,0.0516,0.4492,0.9319,1.0007,1200,0.1069,0.8371
Occupancy,Barn Swallow,dicot,0.5202,0.2356,0.0748,0.5117,0.9866,1.0159,1200,0.1363,0.9178
Occupancy,Black-capped Chickadee,dicot,0.2552,0.2668,-0.2605,0.2603,0.7982,1.0187,1200,-0.1797,0.6935
Occupancy,Belted Kingfisher,dicot,0.3072,0.2583,-0.1776,0.3008,0.844,1.0032,1200,-0.0931,0.7517
Occupancy,Blue-gray Gnatcatcher,dicot,0.3756,0.2358,-0.0466,0.3642,0.8863,1.0046,1200,0.0085,0.8049
Occupancy,Brown-headed Cowbird,dicot,0.4658,0.2594,-0.0182,0.4532,1.0324,1.006,1100,0.0689,0.9204
Occupancy,Blue-headed Vireo,dicot,0.2574,0.266,-0.2705,0.2588,0.809,1.0169,884,-0.169,0.6967
Occupancy,Blue Jay,dicot,-0.0202,0.2508,-0.5376,-0.0202,0.4599,1.0213,1200,-0.4481,0.3836
Occupancy,Bobolink,dicot,0.2452,0.2895,-0.3152,0.2376,0.8147,1.0021,1200,-0.2215,0.7305
Occupancy,Brown Creeper,dicot,0.3606,0.2292,-0.0763,0.3468,0.8229,1.0025,1200,-0.0043,0.7534
Occupancy,Brown Thrasher,dicot,0.2305,0.2627,-0.2995,0.2276,0.7469,1.0063,1200,-0.2135,0.648
Occupancy,Black-throated Green Warbler,dicot,0.2344,0.276,-0.3205,0.2337,0.7975,1.0018,1200,-0.2136,0.6961
Occupancy,Broad-winged Hawk,dicot,0.2649,0.2608,-0.2699,0.2661,0.7702,1.0039,1200,-0.1511,0.6805
Occupancy,Blue-winged Warbler,dicot,0.2456,0.239,-0.2107,0.2443,0.7507,1.0037,1200,-0.1328,0.6452
Occupancy,Canada Goose,dicot,0.2451,0.2575,-0.281,0.243,0.7624,1.0114,1084,-0.1759,0.6632
Occupancy,Carolina Wren,dicot,0.2032,0.2265,-0.2451,0.2012,0.6566,1.0018,1200,-0.1587,0.5622
Occupancy,Cedar Waxwing,dicot,0.2074,0.2038,-0.1759,0.2068,0.6129,1.0297,1200,-0.1149,0.5542
Occupancy,Cerulean Warbler,dicot,0.239,0.2728,-0.2972,0.2413,0.7895,1.0083,1200,-0.2063,0.6899
Occupancy,Chipping Sparrow,dicot,0.225,0.219,-0.1682,0.2258,0.631,1.0225,1200,-0.128,0.573
Occupancy,Chimney Swift,dicot,0.2539,0.2296,-0.1882,0.2452,0.6912,1.0031,1200,-0.1036,0.6215
Occupancy,Cliff Swallow,dicot,0.1757,0.2592,-0.3524,0.1847,0.6733,1.0007,1200,-0.255,0.586
Occupancy,Common Grackle,dicot,0.0275,0.2375,-0.4561,0.038,0.4629,1.0054,1200,-0.3804,0.4034
Occupancy,Cooper's Hawk,dicot,0.0707,0.2435,-0.4176,0.0749,0.5374,1.001,1329,-0.3263,0.4606
Occupancy,Common Yellowthroat,dicot,0.4056,0.1949,0.0485,0.401,0.813,1.0003,1200,0.0921,0.72
Occupancy,Dark-eyed Junco,dicot,0.0609,0.229,-0.399,0.0688,0.4957,1.0046,1240,-0.3197,0.409
Occupancy,Downy Woodpecker,dicot,0.267,0.2546,-0.2329,0.2694,0.7943,1.0061,1200,-0.15,0.6832
Occupancy,Eastern Bluebird,dicot,0.1786,0.2477,-0.3025,0.1829,0.6562,1.0076,1089,-0.2294,0.5711
Occupancy,Eastern Kingbird,dicot,0.4184,0.2348,-0.0174,0.4064,0.8911,1.0035,1200,0.0441,0.8213
Occupancy,Eastern Meadowlark,dicot,0.417,0.2558,-0.0379,0.4028,0.9573,1.001,1200,0.0298,0.8558
Occupancy,Eastern Phoebe,dicot,0.2776,0.2234,-0.1423,0.2748,0.7314,1,1200,-0.0821,0.6408
Occupancy,Eastern Towhee,dicot,0.5091,0.2092,0.1214,0.5016,0.929,1.0345,1200,0.1718,0.868
Occupancy,Eastern Wood-Pewee,dicot,0.3527,0.2378,-0.0957,0.3455,0.8381,1.005,1200,-0.027,0.7386
Occupancy,European Starling,dicot,0.2244,0.2246,-0.2142,0.228,0.6584,1.0086,1278,-0.1447,0.5972
Occupancy,Field Sparrow,dicot,0.2233,0.2255,-0.2251,0.2195,0.6539,1.0052,1200,-0.1405,0.5938
Occupancy,Great Blue Heron,dicot,0.0715,0.2486,-0.4408,0.0755,0.5261,1.0007,1200,-0.3544,0.4685
Occupancy,Great Crested Flycatcher,dicot,0.2278,0.2563,-0.2812,0.2239,0.7553,1.0013,1200,-0.1727,0.6577
Occupancy,Great Horned Owl,dicot,0.2884,0.2618,-0.2434,0.2761,0.8188,1.0243,1200,-0.1471,0.7455
Occupancy,Gray Catbird,dicot,0.2751,0.1854,-0.095,0.2768,0.6439,1.0016,1200,-0.0243,0.585
Occupancy,Green Heron,dicot,0.2441,0.2648,-0.2805,0.2499,0.7609,1.0012,1200,-0.1879,0.6658
Occupancy,Hairy Woodpecker,dicot,0.3135,0.2699,-0.218,0.3069,0.8615,1.0134,1200,-0.1105,0.7667
Occupancy,Herring Gull,dicot,0.2664,0.2699,-0.2714,0.2657,0.7981,1.0143,1200,-0.1682,0.7207
Occupancy,Hermit Thrush,dicot,0.2767,0.2526,-0.2237,0.267,0.7564,1.0006,1200,-0.1249,0.6881
Occupancy,House Finch,dicot,0.0575,0.2517,-0.4521,0.0645,0.5242,1.0184,1200,-0.3506,0.4409
Occupancy,House Sparrow,dicot,0.0181,0.2212,-0.4373,0.0309,0.4194,1.0122,1094,-0.3536,0.3393
Occupancy,Hooded Warbler,dicot,0.6466,0.2288,0.2441,0.6274,1.1206,1.0002,1090,0.3038,1.0331
Occupancy,House Wren,dicot,0.0793,0.1771,-0.2895,0.0825,0.4042,1.0071,1200,-0.2164,0.36
Occupancy,Indigo Bunting,dicot,0.3689,0.1909,0.0195,0.3568,0.7637,1.0093,1244,0.0631,0.6901
Occupancy,Killdeer,dicot,0.2869,0.2397,-0.1967,0.2882,0.767,1.0029,1200,-0.1081,0.6986
Occupancy,Louisiana Waterthrush,dicot,0.4024,0.2339,-0.0454,0.3914,0.8804,1.004,1617,0.0262,0.7922
Occupancy,Mallard,dicot,0.2246,0.2529,-0.2779,0.2219,0.7303,1.0239,1200,-0.208,0.6344
Occupancy,Mourning Dove,dicot,0.2739,0.2246,-0.1554,0.2715,0.716,1.0125,1200,-0.0669,0.6387
Occupancy,Northern Cardinal,dicot,0.2114,0.2428,-0.2551,0.2232,0.6782,1.0009,1200,-0.1818,0.6018
Occupancy,Northern Flicker,dicot,0.254,0.2434,-0.2208,0.2434,0.7494,1.0173,1200,-0.1412,0.6561
Occupancy,Northern Parula,dicot,0.1634,0.2718,-0.4042,0.1728,0.6955,1.0006,1097,-0.2943,0.5996
Occupancy,Northern Rough-winged Swallow,dicot,0.3713,0.2457,-0.0937,0.3724,0.8698,1.0095,1200,-0.0284,0.7875
Occupancy,Orchard Oriole,dicot,0.1159,0.2379,-0.3783,0.132,0.5383,1.0009,1200,-0.2816,0.4816
Occupancy,Ovenbird,dicot,0.2432,0.2176,-0.1739,0.2396,0.6954,1.0028,1200,-0.1181,0.609
Occupancy,Pileated Woodpecker,dicot,0.3275,0.2561,-0.1607,0.3262,0.849,1.0006,1011,-0.0907,0.7487
Occupancy,Purple Finch,dicot,0.2484,0.2588,-0.2777,0.2491,0.7439,1.0161,1200,-0.167,0.6583
Occupancy,Purple Martin,dicot,0.2436,0.2709,-0.2831,0.2406,0.7789,1.005,1200,-0.2017,0.6728
Occupancy,Rose-breasted Grosbeak,dicot,0.1112,0.2407,-0.3742,0.1193,0.5656,1.0039,1320,-0.278,0.4885
Occupancy,Ring-billed Gull,dicot,0.1265,0.2355,-0.3531,0.1313,0.5677,1.003,1200,-0.2776,0.5051
Occupancy,Red-breasted Nuthatch,dicot,0.255,0.2709,-0.3029,0.2596,0.7769,1.0008,1200,-0.1908,0.6978
Occupancy,Red-bellied Woodpecker,dicot,0.3814,0.2517,-0.1089,0.3733,0.8915,1.0016,1200,-0.0108,0.8186
Occupancy,Red-eyed Vireo,dicot,0.4146,0.2382,-0.0364,0.3984,0.9473,1.0071,1200,0.0418,0.8307
Occupancy,Red-headed Woodpecker,dicot,0.1609,0.2455,-0.3636,0.1642,0.6467,1.0002,1200,-0.2489,0.5478
Occupancy,Rock Pigeon,dicot,0.1738,0.2546,-0.3491,0.1748,0.66,1.0086,1200,-0.264,0.5844
Occupancy,Red-shouldered Hawk,dicot,0.2361,0.2579,-0.2825,0.2376,0.7292,1.009,1200,-0.1696,0.6597
Occupancy,Red-tailed Hawk,dicot,-0.0576,0.2737,-0.641,-0.0391,0.4579,1.0377,1054,-0.5247,0.3581
Occupancy,Ruby-throated Hummingbird,dicot,0.3554,0.2922,-0.233,0.3514,0.9566,1.0029,1096,-0.1164,0.8619
Occupancy,Red-winged Blackbird,dicot,0.0752,0.1873,-0.281,0.0729,0.4477,1.0007,1109,-0.233,0.3908
Occupancy,Savannah Sparrow,dicot,0.2417,0.2622,-0.2784,0.249,0.7534,1.0093,1496,-0.1935,0.6723
Occupancy,Scarlet Tanager,dicot,0.3015,0.2383,-0.143,0.293,0.7897,0.9996,1046,-0.0706,0.7087
Occupancy,Song Sparrow,dicot,0.1866,0.1799,-0.1544,0.1864,0.5571,1.017,1200,-0.1071,0.4762
Occupancy,Swamp Sparrow,dicot,0.1547,0.2412,-0.3454,0.1649,0.6169,1.0031,1200,-0.2611,0.5352
Occupancy,Tennessee Warbler,dicot,0.234,0.2691,-0.3087,0.2305,0.7452,0.9991,1200,-0.2001,0.6544
Occupancy,Tree Swallow,dicot,0.2025,0.245,-0.3065,0.2109,0.6683,1.0098,1200,-0.2011,0.5846
Occupancy,Tufted Titmouse,dicot,0.2844,0.2413,-0.1685,0.2788,0.787,1.0068,973,-0.1099,0.6858
Occupancy,Turkey Vulture,dicot,0.2144,0.2556,-0.274,0.2118,0.7192,1.0013,1200,-0.2055,0.6327
Occupancy,Veery,dicot,0.3327,0.2254,-0.1005,0.3344,0.7945,1.0098,1078,-0.034,0.6877
Occupancy,Virginia Rail,dicot,0.2352,0.2733,-0.3214,0.2402,0.7897,1.0062,1200,-0.2367,0.6851
Occupancy,Warbling Vireo,dicot,0.3303,0.2058,-0.0548,0.3277,0.7301,1.0056,1200,-0.0003,0.6592
Occupancy,White-breasted Nuthatch,dicot,0.3405,0.2516,-0.1496,0.3307,0.8615,1.0008,1200,-0.0466,0.7766
Occupancy,White-eyed Vireo,dicot,0.3063,0.2593,-0.2061,0.3002,0.8267,1.0142,1200,-0.1204,0.7369
Occupancy,Willow Flycatcher,dicot,0.1644,0.2373,-0.3045,0.1726,0.6091,1.0033,1322,-0.2248,0.5402
Occupancy,Wild Turkey,dicot,0.1945,0.2607,-0.3094,0.1972,0.7378,0.9999,889,-0.2352,0.6221
Occupancy,Winter Wren,dicot,0.229,0.2463,-0.2534,0.236,0.7076,1.0005,1200,-0.1868,0.624
Occupancy,Wood Duck,dicot,0.2643,0.2576,-0.257,0.2511,0.7788,0.9996,1200,-0.154,0.7002
Occupancy,Wood Thrush,dicot,0.3277,0.2178,-0.089,0.3224,0.7861,1.0043,1043,-0.0274,0.6983
Occupancy,Yellow-billed Cuckoo,dicot,0.2763,0.2595,-0.2121,0.2756,0.8054,1.0044,1200,-0.1558,0.6948
Occupancy,Yellow Warbler,dicot,0.1805,0.1974,-0.2029,0.1825,0.5771,1.0021,927,-0.1286,0.5142
Occupancy,Yellow-throated Vireo,dicot,0.2242,0.2465,-0.2795,0.2261,0.729,1.005,1200,-0.1749,0.6239
Occupancy,Yellow-throated Warbler,dicot,0.4259,0.2529,-0.0371,0.4117,0.9493,1.0158,1200,0.0333,0.8681
Occupancy,Acadian Flycatcher,cyper,0.0725,0.1911,-0.2847,0.0692,0.4625,1.001,1589,-0.2265,0.4039
Occupancy,Alder Flycatcher,cyper,0.0391,0.3139,-0.5553,0.0254,0.6566,1.0056,1568,-0.4649,0.5607
Occupancy,American Crow,cyper,0.092,0.21,-0.3169,0.0935,0.5155,1.0017,1445,-0.2502,0.4414
Occupancy,American Goldfinch,cyper,0.0504,0.2661,-0.4653,0.0593,0.5874,1.0038,1200,-0.3943,0.5037
Occupancy,American Kestrel,cyper,-0.2569,0.3175,-0.8825,-0.2503,0.3589,1.0007,1200,-0.7991,0.2443
Occupancy,American Redstart,cyper,-0.1111,0.2579,-0.6041,-0.1196,0.4137,1.0058,1200,-0.5302,0.3149
Occupancy,American Robin,cyper,0.063,0.2319,-0.3574,0.0539,0.5376,1.0014,1200,-0.2965,0.4637
Occupancy,American Woodcock,cyper,-0.0741,0.3115,-0.6894,-0.0711,0.5197,1.0063,1200,-0.5968,0.4309
Occupancy,Barred Owl,cyper,-0.258,0.3116,-0.9114,-0.2344,0.3032,1.0013,1200,-0.7863,0.2265
Occupancy,Bald Eagle,cyper,-0.3192,0.3249,-0.9762,-0.3163,0.323,1.0093,1200,-0.863,0.2041
Occupancy,Bank Swallow,cyper,-0.2781,0.3166,-0.9481,-0.269,0.2937,1.0007,1148,-0.8163,0.2138
Occupancy,Baltimore Oriole,cyper,-0.4183,0.2275,-0.8687,-0.4113,0.0114,1.0003,1200,-0.7972,-0.0603
Occupancy,Barn Swallow,cyper,-0.3091,0.2758,-0.8687,-0.3032,0.2197,1.0053,1200,-0.7684,0.139
